Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L
66,63,Tianjin University,^v^,张翔智,万文彬,王嘉晨,Mei Yu,,True,3,657,Bronze,,,,,,,,+(7),,+16(290),+(40),
67,64,Northwestern Polytechnical University,Little Switty,李可期,邹嘉豪,钟涛宇,Junrui Liu,,True,3,682,Bronze,,,,,,,,+(12),,+3(255),+4(275),
68,65,Central China Normal University,T34-Gray,刘孟谦,杨璟欣,彭雅晨,Junmin Ye,,True,3,774,Bronze,,,,-2,,,,+1(17),,+3(269),+6(288),
69,66,JiangNan University,Taboo Laevatein,董万里,赵泓博,吴继凯,Min Jiang,,True,2,69,Bronze,,,,,-2,-14,,+(7),,-7,+(62),
70,67,昆山杜克大学,zufang,胡子,孙厚旻,袁天骏,Ming-Chun Huang,False,True,2,120,Bronze,,,,,,,,,,,,
71,68,Duke Kunshan University,zufang,Zi Hu,Houmin Sun,Tianjun Yuan,Ming-Chun Huang,,True,2,120,Bronze,,-3,,,,,,+1(24),,-7,+(76),
72,,Hong Kong University of Science and Technology,HKUST5,Chan Ho Yin,"AWADALLA, bdelrahman HossamEldin A. A.",Vu Duy Tung,Qifeng Chen,,True,2,120,Bronze,,,,,,,,+(11),,-3,+1(89),
73,69,Wuhan University of Technology,Chuunibyou But ACMers,史佳尚,余翔宇,陆冠丞,Dongdong Zhao,,True,2,122,Bronze,,,,,,,,+(18),,-2,+(104),
74,70,City University of Hong Kong,Pure 2025,燕雅超,高立由,邓子冲,Minming Li,,True,2,127,Bronze,,-6,,,,,,+(8),,-5,+(119),
75,71,Northeastern University at Qinhuangdao,Don't Hack Me,朱逸飞,陈小全,赵星凯,Hexing Wang,,True,2,151,Bronze,,,,,,,,+1(14),,-23,+(117),
76,72,Chengdu Neusoft University,My Little Pony won't use Snickers before meeting Rainbow Dash,吴庭信,王俊喆,陈一夫,Lin Tian,,True,2,152,Bronze,,-9,,,,,,+(9),,+1(123),-5,
77,73,University of Macau,icy_firefly,高淼悦,席跃,张容嘉,Zehan Lin,,True,2,157,Bronze,,-2,,,,,,+(11),,-4,+3(86),
78,74,"China University of Geosciences, Beijing",Little Foodie Loves Penalty Time,牛鸿宇,叶宇翔,滕俊宁,Junbao Xia,,True,2,171,Bronze,,,,,,,,+(12),,-2,+(159),
79,,City University of Hong Kong,Feel the Russian Style,Gizatullin Timur,Demidov Ilia,Evstafev Andrei,Minming Li,,True,2,173,Bronze,,,,,,,,+(11),,-1,+1(142),
80,75,ShanghaiTech University,WA Deeds Done Dirt Cheap,姜昕宇,陈钊堃,王俊篪,Kewei Tu,,True,2,182,Bronze,,-1,,,,,,+(9),,-2,+2(133),
81,76,Xi'an University of Posts and Telecommunications,Dreamer without love,石宇,武奕源,赵旭东,Qingsheng Zhang,,True,2,184,Bronze,,,,,,,,+(10),,-11,+3(114),
82,77,Qilu University Of Technology,add uuz to your qq group meow thank you meow,杨梓睿,国展源,张宸维,Yan Pan,,True,2,225,Bronze,,,,,,,,+1(12),,-5,+1(173),
83,78,Shandong University of Technology,Respawn of entropy,刘超,张俊,袁烨,Xianwei Zhang,,True,2,243,Bronze,,,,,,,,+1(14),,-6,+2(169),
84,79,Jiangxi University of Finance and Economics,Fondness? Delusion!,衷铭川,万俊哲,张云菲,Jian Jiang,,True,2,265,Bronze,,,,,,,,+2(17),,-6,+1(188),
85,80,Dalian Maritime University,Aleatory Acceptism of Encounter,任品豪,梅宇涵,石俊锋,Zhiying Cao,,True,2,278,Bronze,,,,,,,,+1(12),,+3(186),,
86,81,Anhui Normal University,Haibara Ai is Correct,许居尚,高翔,火天宝,Chuanxin Zhao,,True,2,279,Bronze,,,,,,,,+(10),,-3,+3(209),
87,82,Beijing Normal-Hong Kong Baptist University,Accepted by HKUST,倪方博,赵泽峰,王孟涵,Jiaxing Chen,,True,2,282,Honorable,,,,,,,,+1(24),,-2,+1(218),
,,Hong Kong Olympiad in Informatics,HKOI 3,Tan Jian Lang,Yang Chun Kit,Wong Cheuk Kiu,Oa Yang Hau Chung,,False,2,297,,,,,,,-3,,+1(17),,-4,+(260),
88,83,Guangdong University of Technology,GDUT_darkseek,谭一峰,蔡鋈,赖国华,Mingkai Tang,,True,2,303,Honorable,,,,,,,,+(15),,+3(228),-3,
89,84,South China Agricultural University,3 ap = 1band = 1 life?,谭伟杰,颜乾彪,陈钢,Xudong Lin,,True,2,306,Honorable,-1,,,,,,,+(15),,-1,+3(231),
90,85,合肥工业大学宣城校区,Naming is so HARD!,冯舶钊,于鸥鹿,马久贺,Junwei Lyu,False,True,2,333,Honorable,,,,,,,,,,,,
91,86,Hefei University of Technology at Xuancheng,Naming is so HARD!,Bozhao Feng,Oulu Yu,Jiuhe Ma,Junwei Lyu,,True,2,333,Honorable,,,,,,,,+(5),,-8,+5(228),
92,87,Heilongjiang University,Elite Conscripts,何恩培,信自强,魏全宏,Hui Xu,,True,2,339,Honorable,,,,,,,,+1(12),,-2,+4(227),
93,88,GuangDong Polytechnic Normal University,GPNU-Awei,黄宇凡,李苇森,陈政柱,Lan Liu,,True,2,351,Honorable,,,,,,,,+(11),,-5,+6(220),
94,89,Shenzhen Technology University,SZTU_developer,王正,张家乐,许榕鑫,Yundi Guo,,True,2,377,Honorable,,,,,,,,+(12),,+4(285),-2,
95,90,South China Normal University,All the way south,于昊炜,朱宬华,曾祥康,Jun Liang,,True,2,379,Honorable,,,,,,,,+(10),,-6,+6(249),
96,91,North China University of Science and Technology,No-Panic Doubao Pro,Yanqian Chen,Yuning Chen,丰文政,Hongcan Yan,,True,2,380,Honorable,,,,,,,,+(13),,+6(247),-2,
97,92,Xihua University,XiXi,石浩楠,吴岚轩,刘馨阳,Honghong Chen,,True,2,388,Honorable,,,,,,,,+(10),,-7,+5(278),
98,93,Huazhong University of Science and Technology,Aren't Slacking Off,郭际泽,李凌凯,赵佳义,Kun He,,True,2,410,Honorable,,-7,,,,,,+(12),,+6(278),-5,
99,94,Tiangong University,Greedy is all about guessing,韩奕霖,吴一凡,姚盛源,Shuxia Ren,,True,1,9,Honorable,,,,,,,,+(9),,-3,-5,
100,95,Zhejiang Normal University,Untitled_Dream,杨琳,沈睿,曹海,Jianmin Han,,True,1,9,Honorable,,,,,,,,+(9),,-9,-1,
101,96,Hong Kong Baptist University,UU Accelerator,张旭景,印无忧,姜蒙,Xin Huang,,True,1,10,Honorable,,,,,,,,+(10),,-12,-2,
102,97,Yangtze University,Dawn,纪方嘉,童炎,任文,Yanrong Cui,,True,1,10,Honorable,,-1,,,,,,+(10),,-1,-5,
103,98,上海纽约大学,NYU Shanghai Team 2,张书恺,许诗栋,Yuhang Hou,Xianbin Gu,False,True,1,11,Honorable,,,,,,,,,,,,
104,99,Chongqing University of Posts and Telecommunications,Array of Cqupt Monkeys,冯禹杰,林新雨,汪炜杰,Jingbo Xie,,True,1,11,Honorable,,,,,,,,+(11),,,-7,
,,Hong Kong Olympiad in Informatics,HKOI 4,Cheung Kin Sun,Chan Cary Sirui,Lung Ping Him,Yuen Lok Kan Ethen,,False,1,11,,-1,-15,,,,,,+(11),,-2,-5,
105,100,Neusoft Institute Guangdong,noircloud,朱梓瀚,黄琳峰,黄炜填,Chao Yang,,True,1,11,Honorable,,,,,,,,+(11),,-2,-9,
106,101,New York University Shanghai,NYU Shanghai Team 2,Shukai Zhang,Shidong Xu,Yuhang Hou,Xianbin Gu,,True,1,11,Honorable,,,,,,,,+(11),,-2,-5,
107,102,North University of China,Just AC,刘灿阳,谭炯豪,陈文博,Guangzhen Pan,,True,1,11,Honorable,,,,,,,,+(11),,,-10,
108,103,Shandong University,Icecream!,毛洋洋,刘少卿,侯佳昊,Xuefeng Cui,,True,1,11,Honorable,,,,,,,,+(11),,-7,-5,
109,104,Central South University of Forestry and Technology,threenoobs,Junjie Xiao,孙齐政,何文杰,Zhufang Kuang,,True,1,12,Honorable,,,,,,,,+(12),,-1,-3,
110,105,Beijing University of Technology,robust driver,陈镇岳,齐相龙,张晋赫,Hongyu Gao,,True,1,13,Honorable,,,,,,,,+(13),,,-5,
111,106,Ningbo University of Technology,Zutto Acceptednakade Iinoni.,郑坚淳,叶徳坚,陈南丞,Jianghua Xuan,,True,1,13,Honorable,,,,,,,,+(13),,,-4,
112,107,Fujian Normal University,Mooncross in Mistweave,Shengmo Ouyang,徐大淦,周傲宇,Ruliang Xiao,,True,1,15,Honorable,,,,,,,,+(15),,-8,,
113,108,"Harbin Institute of Technology, Weihai",Be AKed by ICPC,李博文,崔彦宇,刘佳豪,Kaikun Dong,,True,1,18,Honorable,,,,,,,,+(18),,-1,-9,
114,109,广东工业大学揭阳校区,ios::sync_with_think(false),陈智谦,陈锦涛,宋阳,Hongshu Li,False,True,1,19,Honorable,,,,,,,,,,,,
115,110,Guangdong University of Technology Jieyang Campus,ios::sync_with_think(false),Zhiqian Chen,Jintao Chen,Yang Song,Hongshu Li,,True,1,19,Honorable,,,,,,,,+(19),,-2,-4,
116,111,五邑大学,The Doctor's team and there ape-man captain,冯凯翔,李晟熙,黄达聪,Zhu Wang,False,True,1,20,Honorable,,,,,,,,,,,,
117,112,Southwest University,SleepToAC,刘子毅,周佰涛,杨竣胜,Xianfeng Han,,True,1,20,Honorable,,,,,,,,+(20),,,-16,
118,113,Wuyi University,The Doctor's team and there ape-man captain,Kaixiang Feng,Shengxi Li,Dacong Huang,Zhu Wang,,True,1,20,Honorable,,,,,,,,+(20),,,-2,
119,114,Henan Normal University,Little sheep,闫浩文,谢添点,阴珂珂,Wenfeng Li,,True,1,21,Honorable,,,,,,,,+(21),,-1,-4,
,,Hou Kong Middle School,Universum,CHOI Sai Chi,CHEN Chio Cheong,WONG Chi Pang,LEONG Kam Wa,,False,1,26,,,,,,,,,+(26),,-3,-8,
120,115,Taiyuan University of Technology,Truly miracle algorithms but no space to write,许星宇,荀思杰,王振琛,Fuping Lin,,True,1,28,Honorable,,-7,,,,,,+1(8),,,-5,
121,116,City University of Macau,SILVER MINER PRO,Muhan Hao,Mingxu Zhu,Fangyuan Jian,Sanshuai Cui,,True,1,30,Honorable,,,,,,,,+(30),,-2,-2,
122,117,Shandong University of Science and Technology,SKD 45167,张特尔,徐学辉,朱继涛,Zhenhuan Wu,,True,1,31,Honorable,,,,,,,,+1(11),,-3,-2,
123,118,Shanghai Ocean University,Carrot,周子恒,周郁涵,吕天佑,Qingmei Yu,,True,1,31,Honorable,,,,,,,,+1(11),,-3,-3,
124,,University of Macau,nxVPCP 'or'1'='1,LAO UN,Chan U Hun,ZHOU ZI MO,Zehan Lin,,True,1,32,Honorable,,,,,,,,+1(12),,-2,-4,
125,119,中国石油大学北京克拉玛依校区,Good Luck！,董玉贤,梁博雅,刘东升,Hongming Hu,False,True,1,33,Honorable,,,,,,,,,,,,
126,120,China University of Petroleum-Beijing at Karamay,Good Luck！,Yuxian Dong,Boya Liang,Dongsheng Liu,Hongming Hu,,True,1,33,Honorable,,,,,,,,+1(13),,,-8,
,,City University of Hong Kong,Java++3,Chi Yin Cheung,Chunqiun Tsang,Lap Tsun Chan,Minming Li,,False,1,34,,,,,,,,,+1(14),,-6,-16,
127,121,Shanghai University,SegFault Maigo,Xiahong Liu,Shiyi Zhang,Yanchao Min,Jun Shen,,True,1,34,Honorable,,,,,,,,+1(14),,-2,-11,
128,,Hong Kong Polytechnic University,The Midas Touch,Haochen Shi,黄敬博,薛腾,Junyao Wang,,True,1,36,Honorable,,,,,,,,+(36),,,-3,
129,122,Kunming University of Science and Technology,I All Accepted,刘浩天,Kang Li,Yuxiang Lu,Xiaoli Zhang,,True,1,37,Honorable,,,,,,,,+1(17),,-9,,
130,123,Wuhan Institute of Technology,998244353,李嘉欣,汪雅琪,王杨晶,Hanliang Guo,,True,1,39,Honorable,,,,,,,,+1(19),,-4,-3,
131,124,Hebei University of Technology,Mechanical Wings,王若豪,赵子涵,黄文,Lukui Shi,,True,1,40,Honorable,,,,,,,,+1(20),,-4,-4,
132,125,Nanyang Institute of Technology,wawawawa...,宋忱宪,任吉康,Hanxu Yao,Ke Chen,,True,1,40,Honorable,,,,,,,,+1(20),,-9,-11,
133,126,Mongolian University of Science and Technology,sict3,Munkhtur MUNKHBAGANA,Purevdorj TSERENPUNTSAG,Purev-Ochir BILGUUNTUGULDUR,Altangerel KHUDER,,True,1,41,Honorable,,,,,,,,+1(21),,-7,-7,
134,127,New Mongol Institute of Technology,I-ACE,Amarsaikhan Badamragchaa,Chingunjav Ariuntur,Enkhbaatar Bayarsaikhan,Iderbaatar Munkhuu,,True,1,41,Honorable,,,,,,,,+1(21),,-3,-3,
135,128,Shenzhen University,SZU_OvO,岑健锋,熊鑫辉,张楠,Xiaoling Luo,,True,1,43,Honorable,,,,,,,,+1(23),,-12,-3,
136,129,Jiangxi Agricultural University,Can't solve it? Nap it away!,Xinyao Huang,Zhengyuan Yu,Haiyu Wang,Hongtao Li,,True,1,51,Honorable,,,,,,,,+1(31),,-1,-2,
137,130,Xidian University,Cute Cat Dad,高琦,薛思宇,顾梓骞,Shuping Zhang,,True,1,55,Honorable,,,,,,,,+1(35),,-7,-5,
138,131,Taizhou University,Long may the sun shine,Ruoyan Wang,Zhichao Zhang,Yicong Yu,Yongliang Hu,,True,1,59,Honorable,,,,,,,,+2(19),,-1,-1,
,,Pui Ching Middle School,gagagugu,WONG In Son,CHEONG Sio Fong,LIN Yu Feng,LAM Kin Un,,False,1,63,,,,,,,,,+(63),,-2,-3,
139,,Hong Kong Baptist University,HKBU_2,Timur Ten,方菲逸,郭家福,Xin Huang,,True,1,76,Honorable,,,,,,,,+2(36),,,-3,
