Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
71,60,合肥工业大学宣城校区,Walking with those who change customs,2,99,-,-,+1(12),-,-3,-,-,-,-,-,+3(47),-,-,50%,Bronze,吉中原,程龙廷,冯舶钊,Junwei Lyu(Coach),N,N
72,,香港中文大学（深圳）,New Folder,2,100,-,-,+1(12),-,-,-,-,-,-,-,+3(48),-4,-,50%,Bronze,莫骄阳,邓有权,周信言,Yixiang Fang(Coach),N,N
73,,山东大学,Beaver Hunting Squad,2,110,-,-,+1(10),-,-,-,-,-,-,-,+2(80),-1,-,33%,Bronze,乐恩玮,叶世昕,郭荣祥,Xuefeng Cui(Coach),N,N
74,61,韩山师范学院,Rose,2,115,-,-,+1(34),-,-,-,-,-,-,-,+1(81),-6,-,0%,Bronze,陈紫阳,何启华,陈佳栩,Xiaoxia Tian(Coach),N,N
74,61,广东金融学院,ShitCoding ,2,115,-,-,+1(17),-,-,-,-,-9,-,-,+1(98),-,-,0%,Bronze,徐展鹏,黄达知,陈嘉亿,Zijie Cao(Coach),N,N
76,63,北京邮电大学,Gold Chef,2,117,-,-,+2(25),-,-,-,-,-,-,-,+1(72),-3,-,33%,Bronze,乔函祺,李思远,马铂凯,Ya Yang(Coach),N,N
76,63,浙江工商大学,Know your defenders,2,117,-,-,+1(13),-,-,-,-,-4,-,-,+2(84),-,-,33%,Bronze,宋壕杰,刘晓涛,朱俊哲,Yuli Hu(Coach),N,N
78,65,昆明理工大学,Red and White,2,119,-,-,+1(15),-,-,-,-,-3,-,-,+3(64),-,-,50%,Bronze,周林翰,周妤蔓,吴金航,Huafeng Li(Coach),N,N
79,,华中科技大学,Team Name Loading 99%,2,124,-,-,+1(12),-,-,-3,-,-,-,-,+4(52),-1,-,60%,Bronze,王泽贤,张思潼,杨凯文,Kun He(Coach),N,N
80,66,哈尔滨工程大学,Name The Team Whatever You Want,2,125,-,-,+2(19),-,-,-,-,-,-,-,+2(66),-,-,50%,Bronze,赵艺凯,李焱冉,万德俊,Lin Guo(Coach),N,N
80,66,宁波工程学院,To the Abyss,2,125,-,-,+1(15),-,-,-,-,-9,-,-,+3(70),-,-,50%,Bronze,陆弘杰,陈鹤天,蔡浩宇,Jianghua Xuan(Coach),N,N
82,,哈尔滨工业大学威海,Be AKed by ICPC,2,131,-,-,+1(16),-,-,-,-,-,-,-,+4(55),-3,-,60%,Bronze,李博文,孙云起,王健睿,Kaikun Dong(Coach),N,N
83,68,东南大学,Invincible zero warrior,2,133,-,-,+1(14),-,-,-,-,-3,-,-,+4(59),-,-,60%,Bronze,肖智恒,蒲京,朱佳航,Vincent Chau(Coach),N,N
83,68,广州城市理工学院,O(n)sort,2,133,-,-,+1(13),-,-,-2,-,-3,-,-,+2(100),-1,-,33%,Bronze,莫国庆,于广,曾振辉,Yudong Lin(Coach),N,N
85,70,湖南师范大学,Howtowin,2,137,-,-,+1(8),-,-,-2,-,-7,-,-,+4(69),-5,-,60%,Bronze,段天琦,钟啸,曾磊鑫,Luo Xun(Coach),N,N
86,71,常熟理工学院,hua hua and Ma,2,138,-,-,+1(22),-,-,-,-,-1,-,-,+3(76),-,-,50%,Bronze,方思珩,马鸿建,刘易,Panhong Nie(Coach),N,N
86,71,厦门大学,Sparkling Spring Sunlight,2,138,-,-,+1(11),-7,-,-1,-,-1,-,-,+3(87),-,-,50%,Bronze,陈朱迪,栾英石,邹品聪,Wenshui Lin(Coach),N,N
88,73,珠海科技学院,Three Palus' Grand Adventure,2,140,-,-,+1(25),-,-,-,-,-3,-,-,+2(95),-,-,33%,Bronze,魏子钇,杨耀彬,Di Yuan,Zhifeng Zeng(Coach),N,N
89,,武汉大学,Reborn As SXR,2,143,-,-,+1(13),-,-,-,-,-8,-,-,+4(70),-,-,60%,Bronze,郑寒友,张弛,谷嘉良,Wenyong Dong(Coach),N,N
89,74,西安交通大学,what captain npy buy today,2,143,-,-,+1(14),-,-1,-6,-,-,-,-,+2(109),-,-,33%,Bronze,林沫非,李彧闻,胡辰同,Longxiang Wang(Coach),N,N
91,,香港中文大学,"Nah, I'd AC.",2,147,-,-,+1(12),-,-,-,-,-8,-,-,+4(75),-,-,60%,Honorable,Kin Yi Chau,Ho Yik Tsun Bastien,Yanze Yang,Wai Ho Mak(Coach),N,N
92,75,惠州学院,Carrying the Fate of ACM,2,149,-,-,+2(20),-,-,-,-,-,-,-,+3(69),-5,-,60%,Honorable,冼健民,孙昊,龚诚,Li WeiHua(Coach),N,N
92,75,大连理工大学,All Fine,2,149,-,-,+1(18),-,-,-,-,-4,-,-,+3(91),-,-,50%,Honorable,刘杰,梁蛟源,梁彦君,Kun Lu(Coach),N,N
94,77,湖南人文科技学院,Just one shot,2,152,-,-,+1(22),-,-,-2,-,-,-,-,+4(70),-1,-,60%,Honorable,李科,周念祖,李循聪,Xiao Minlei(Coach),N,N
95,78,深圳大学,SZU_MouTai19937,2,155,-,-,+1(16),-,-,-,-,-,-,-,+2(119),-,-,33%,Honorable,雷昀珂,冉起,林文伟,Jianbin Qin(Coach),N,N
96,,西北工业大学,i++,2,156,-,-,+1(15),-,-,-,-,-,-,-,+2(121),-,-,33%,Honorable,黄梓恒,Yuanbo Xu,Chenxu Wei,Xiuwei Zhang(Coach),N,N
97,,深圳大学,SZU_Wrong answer on test 2,2,157,-,-,+3(25),-,-1,-13,-,-,-,-,+2(72),-,-,60%,Honorable,葛峻赫,温家燊,肖俊祺,Jianbin Qin(Coach),N,N
98,79,华南理工大学,chicken chicken chicken,2,159,-,-,+2(21),-,-,-1,-,-,-,-,+3(78),-10,-,60%,Honorable,王奕凯,张麟,陈祖榆,Chuhua Xian(Coach),N,N
