Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
66,,中南大学,T-34,7,648,-,+2(255),+1(17),-,+1(149),+1(36),+1(62),-,-,+1(11),-,+1(98),12%,Silver,叶则杨,李松佑,谭宇豪,N,N
67,42,西南大学,啦啦队,7,668,-,+3(218),+2(47),-,+2(96),+1(29),+1(57),-,-,+1(22),-,+1(119),36%,Silver,何一,徐畅,陈雯丽,N,N
68,,吉林大学,天行,7,692,-2,+3(227),+1(26),-,+3(87),+1(32),+1(48),-,-,+1(11),-,+1(181),36%,Silver,祝永祺,陈瀚,高钧,N,N
68,43,中国民航大学,无问西东,7,692,-4,+1(250),+1(33),-,+1(160),+1(29),+1(95),-,-,+1(18),-,+1(107),0%,Silver,傅一笑,刘家宁,饶恒,N,N
70,44,青岛大学,亚洲猫猫虫,7,694,-1,+4(224),+1(51),-1,+2(136),+1(24),+1(72),-1,-1,+1(8),-1,+2(79),41%,Silver,刘乐鹏,毛聿麒,董亚洲,N,N
70,44,武昌理工学院,雅沙西,7,694,-1,+3(243),+1(18),-4,+3(72),+2(36),+1(31),-1,-1,+2(14),-2,+3(120),53%,Silver,周思豪,常康腾,常毅威,N,N
72,,武汉大学,我会自己写代码,7,744,-,+6(294),+1(32),-,+1(102),+1(14),+2(37),-6,-,+1(8),-,+3(97),53%,Silver,卢凯宾,水熙锐,谷嘉良,N,N
73,,南方科技大学,南方科技大学 - 凡尔赛,7,757,-,+3(293),+1(31),-,+2(165),+2(27),+1(59),-,-,+1(20),-,+1(82),36%,Silver,孙开轩,张嘉妤,肖佳辰,N,N
74,,杭州电子科技大学,杭电 5 队,7,758,-1,+3(270),+1(44),-,+1(97),+2(58),+1(67),-,-,+1(9),-,+3(113),41%,Silver,万扬,张易,金楷鑫,N,N
75,46,东北大学,东北大学_毒,7,768,-1,+4(222),+1(80),-,+1(73),+1(23),+5(115),-,-,+1(11),-,+1(104),50%,Silver,仝家驹,张帆,陈彦澍,N,N
76,,电子科技大学,UESTC_404,7,771,+2(233),-1,+1(8),-,+3(149),+1(55),+1(87),-,-,+2(25),-,+1(134),36%,Silver,廖子牧,张昕诺,钟著晖,N,N
77,,北京理工大学,凉心做题人,7,775,-,+1(232),+3(50),-,+1(116),+1(16),+4(76),-,-,+1(8),-,+2(157),46%,Silver,何骏,苗沂坤,高浩轩,N,N
78,,北京邮电大学,愿青龙在 ac 十道题后摸上一整天的鱼,7,779,-1,+5(282),+2(17),-,+4(128),+1(30),+1(76),-,-,+1(15),-,+2(51),56%,Silver,张子阳,徐元程,蔡维翰,N,N
79,47,复旦大学,正在缓冲…,7,781,+1(275),-1,+1(40),-,+1(115),+2(27),+1(92),-,-,+1(13),-,+1(199),12%,Silver,李航成,舒文韬,葛煦旸,N,N
80,48,浙大城市学院,226 寝室长去考研了,7,787,-,+5(253),+1(18),-,+2(127),+2(24),+1(51),-,-,+1(12),-,+2(162),50%,Silver,何伟煊,何勇杰,蒋净洋,N,N
81,49,上海大学,玉兰花开,7,818,-,+4(285),+1(21),-,+2(110),+1(29),+2(60),-,-,+1(12),-,+3(161),50%,Silver,康高熙,李梓航,王静颐,N,N
82,50,浙江科技学院,重庆鸡公煲,7,826,-,+7(284),+1(21),-,+2(152),+2(30),+2(54),-,-,+1(10),-,+1(95),56%,Silver,丁好,卢超翼,蒋银帆,N,N
83,,东北大学,东北大学_遇到困难睡大觉,7,842,-1,+2(243),+2(40),-1,+2(99),+3(37),+1(98),-1,-1,+1(12),-1,+4(153),53%,Silver,冯楚钊,张浩霖,顾竣凯,N,N
84,51,山东师范大学,逆风,7,843,-,+7(288),+1(25),-,+3(109),+1(33),+1(57),-,-,+1(19),-,+1(152),53%,Silver,张锦淇,王位毅,聂晓阳,N,N
85,52,河海大学,Akers,7,860,-,+2(298),+1(34),-,+3(138),+1(25),+1(55),-,-,+1(11),-,+2(219),36%,Silver,刘洋,张宇,黄兆彬,N,N
86,53,东南大学,神奇海螺,7,875,-1,+1(181),+1(43),-,+3(76),+3(33),+2(93),-,-,+1(15),-,+5(254),56%,Silver,侯博凡,王俊,胡佳栋,N,N
87,,哈尔滨工业大学,搬起石头砸自己的脚,7,889,-1,+6(278),+1(36),-,+2(76),+2(24),+1(127),-,-,+1(20),-,+2(168),53%,Silver,刘宇哲,胡罡沣,谢明东,N,N
88,54,台州学院,沧浪之水,7,901,-,+1(277),+1(63),-,+2(168),+1(39),+2(101),-,-,+1(26),-,+1(187),22%,Silver,孙宇飞,林钰琳,陈景钧,N,N
89,55,河北工业大学,uuz 可爱,7,922,+2(251),-,+1(89),-,+2(136),+2(49),+1(106),-,-,+1(13),-,+1(218),30%,Silver,张天翔,张玉印,李辰,N,N
90,56,兰州大学,真没睡,7,941,-,+12(264),+2(23),-,+1(63),+1(34),+1(61),-,-,+1(10),-,+4(186),68%,Silver,李大源,李文凯,水源,N,N
91,57,集美大学,抱歉，这没有集美,7,946,-1,+2(276),+1(36),-,+7(150),+2(43),+1(46),-,-,+1(13),-,+3(182),58%,Silver,何皆庆,林贝宁,蔡万杰,N,N
92,58,浙江师范大学,贪心,7,959,-,+10(290),+1(9),-,+1(146),+1(24),+4(88),-,-,+1(20),-,+3(102),66%,Silver,吴铮,郑顺帆,黄彬成,N,N
93,59,西安电子科技大学,老人与 AC,7,981,-,+1(274),+2(102),-,+4(133),+1(25),+1(49),-,-,+1(9),-,+4(249),50%,Silver,柴东辰,王孟晞,陈德创,N,N
94,,上海大学,搜铺,7,1016,-1,+1(249),+1(74),-,+1(213),+2(42),+1(100),-,-,+1(16),-,+7(182),50%,Silver,易兰萱,谢奕,连昊宇,N,N
95,60,中国矿业大学（北京）,队长一人顶仨队,7,1029,-,+4(296),+1(38),-,+1(252),+1(52),+2(96),-,-,+1(25),-,+2(170),41%,Silver,史坪巧,张泽豪,高晨莹,N,N
96,61,深圳大学,SZU_Tarjan,7,1120,-,+6(288),+1(38),-,+3(179),+1(32),+1(75),-,-,+1(14),-,+4(294),58%,Silver,刘仟华,苏嘉淇,钟兆雄,N,N
97,62,中国地质大学（北京）,为美好的世界献上祝福！,6,255,-1,-15,+1(20),-,+1(100),+1(15),+1(49),-,-,+1(8),-,+1(63),0%,Silver,姚顺玙,曹胜华,王宁,N,N
98,63,北京交通大学,相遇天使,6,276,-,-5,+1(33),-,+1(83),+1(14),+1(45),-,-,+1(9),-,+1(92),0%,Silver,杨佳昊,邓人嘉,金恒柘,N,N
99,,哈尔滨工业大学（深圳）,全都做不队,6,285,-,-13,+1(16),-,+1(103),+1(23),+1(42),-,-,+1(15),-,+2(66),14%,Silver,朱易峰,郑旭涛,黄奕翔,N,N
100,64,西南民族大学,嘉然，只因你太美,6,289,-,-5,+1(31),-,+1(109),+1(26),+1(45),-,-,+1(13),-,+1(65),0%,Silver,刘家乐,张珺开,李锐,N,N
101,65,广东工业大学,猫猫吃代码,6,296,-2,-20,+1(14),-,+1(71),+1(18),+1(56),-,-,+1(25),-,+2(92),14%,Silver,严瑞琪,张峻豪,王镇涛,N,N
102,66,北京航空航天大学,大吉大利，今晚吃 mian();,6,325,-,-7,+1(28),-,+2(81),+1(22),+2(45),-,-,+1(12),-,+1(97),25%,Silver,刘佳睿,潘天蔚,郝泽钰,N,N
103,67,杭州师范大学,三众全灰,6,343,-1,-4,+1(24),-,+1(97),+1(29),+1(47),-,-,+1(14),-,+1(132),0%,Silver,傅贤杨,包嘉城,江宇杰,N,N
104,68,西北大学,摸鱼读假题写 bug 演队友,6,351,-,-1,+1(17),-,+1(174),+1(21),+1(44),-,-,+1(9),-,+1(86),0%,Silver,何春林,施景阳,王平,N,N
105,69,华中农业大学,吸金石,6,352,-,-11,+1(18),-,+1(100),+1(28),+1(49),-,-,+1(12),-,+1(145),0%,Silver,吴俊彤,周广通,张浩辉,N,N
106,70,常熟理工学院,肉夹肉夹馍 plus,6,363,-,-10,+1(26),-,+1(152),+2(32),+1(49),-,-,+1(13),-,+1(71),14%,Bronze,姚康政,常博豪,徐柔,N,N
107,,北京航空航天大学,你今天摆烂了对不队,6,367,-,-1,+1(30),-,+1(70),+1(19),+1(50),-8,-,+1(9),-,+2(169),14%,Bronze,吕双羽,杨汭,石睿知,N,N
108,,浙江师范大学,猫猫把妖怪抓走了,6,374,-,-,+1(19),-4,+1(68),+2(33),+1(46),-,-,+1(6),-,+3(142),33%,Bronze,厉文浩,温启涛,蒋润浩,N,N
109,,复旦大学,快速毛茸茸变换,6,394,-,-8,+1(28),-,+3(112),+1(11),+1(97),-,-,+1(13),-,+1(93),25%,Bronze,俞嘉琪,周子羽,宋悦荣,N,N
110,,华中科技大学,team038,6,395,-,-,+1(24),-,+1(113),+1(29),+1(55),-,-,+1(12),-,+1(162),0%,Bronze,刘昕,刘祖泰,马承宇,N,N
111,,西安电子科技大学,乱码小飞船,6,410,-8,-5,+1(57),-,+1(78),+1(16),+1(60),-,-,+1(6),-,+3(153),25%,Bronze,刘焕宇,汪文轩,陶天乐,N,N
112,71,天津工业大学,专注分母二十年,6,411,-4,-,+1(25),-,+1(118),+1(35),+1(83),-,-,+1(15),-,+1(135),0%,Bronze,姚一鸣,宋一鸣,杨磊,N,N
113,,北京航空航天大学,总之就是非常离谱,6,420,-1,-1,+1(25),-,+1(115),+2(36),+1(60),-,-,+1(17),-,+1(147),14%,Bronze,何庆扬,荆睿涛,鲁超杰,N,N
114,,四川大学,面向出题人暴力编程,6,430,-,-4,+1(26),-,+1(126),+1(32),+1(49),-,-,+1(9),-,+2(168),14%,Bronze,丁国峰,丁宗康,胡展鹏,N,N
115,,哈尔滨工程大学,队友在考科目二,6,434,-,-4,+1(30),-,+1(188),+1(42),+1(63),-,-,+1(11),-,+1(100),0%,Bronze,李在熙,欧阳慧,罗仕玮,N,N
116,72,浙江农林大学,这个彬彬交题超勇的 jb want to ac,6,438,-,-1,+1(6),-,+2(210),+2(42),+1(49),-,-,+1(19),-,+1(72),25%,Bronze,倪铂涵,朱蕴仪,王健彬,N,N
117,73,东北大学秦皇岛分校,升空的奖牌，从台下看还是台上看？,6,440,-,-8,+1(21),-,+3(153),+1(17),+1(93),-,-,+1(10),-,+1(106),25%,Bronze,刘琛,胡鸿捷,袁茂恒,N,N
117,,电子科技大学,UESTC_Reverse,6,440,-1,-2,+1(51),-,+1(99),+1(31),+1(62),-,-,+1(14),-,+2(163),14%,Bronze,王振波,郑力文,魏祥翰,N,N
119,74,华南农业大学,欧若拉,6,445,-,-6,+1(22),-,+1(176),+1(33),+1(60),-,-,+1(11),-,+2(123),14%,Bronze,刘创嘉,林逸杰,郑晓楊,N,N
120,75,南昌航空大学,正在起名中,6,448,-,-,+1(32),-,+1(123),+1(36),+1(94),-,-,+1(14),-,+1(149),0%,Bronze,肖豫崇,谢佳树,邹锦法,N,N
121,,华中科技大学,V 我 50 就,6,459,-,-4,+2(26),-,+1(93),+1(31),+4(99),-,-,+1(13),-,+1(117),40%,Bronze,李韦成,杨治,金城根,N,N
122,,中国地质大学（北京）,肆零肆,6,465,-7,-,+1(30),-,+1(115),+1(39),+1(81),-,-,+2(11),-,+2(149),25%,Bronze,刘锦程,易晨竹,黄恺瑞,N,N
123,76,同济大学,无紫不行,6,474,-,-1,+1(30),-,+2(110),+1(33),+3(97),-,-,+1(14),-,+1(130),33%,Bronze,张翔,王铭邦,雒俊为,N,N
124,,国防科技大学,线代做的都队,6,484,-,-5,+1(33),-,+1(151),+1(24),+1(61),-,-,+1(15),-,+3(160),25%,Bronze,刘宇林,程星桦,苏弘烨,N,N
125,,同济大学,可燃冰,6,502,-,-,+1(57),-,+1(127),+1(34),+1(80),-,-,+1(40),-,+1(164),0%,Bronze,吕博文,彭兆祥,杨非凡,N,N
126,77,浙江农林大学暨阳学院,永昼,6,503,-,-2,+1(28),-,+1(137),+1(40),+1(67),-,-,+2(21),-,+1(190),14%,Bronze,刘浩琪,姜梓堉,张启琛,N,N
127,78,郑州轻工业大学,分个序，排个块,6,509,-,-3,+2(27),-,+4(184),+1(26),+1(52),-,-,+1(13),-,+1(127),40%,Bronze,孙泽国,张一泽,王家琪,N,N
128,,杭州电子科技大学,杭电 11 队,6,510,-1,-,+1(18),-,+3(134),+2(26),+1(86),-,-,+1(9),-,+2(157),40%,Bronze,冯军荣,刘潞,沈航,N,N
128,,北京交通大学,杰哥不要啊,6,510,-2,-1,+1(19),-,+1(218),+1(23),+2(48),-,-,+1(14),-,+2(148),25%,Bronze,吴忠权,孙齐,谢钊杰,N,N
130,79,湖南大学,中部玄驹,6,511,-7,-,+1(30),-,+1(112),+1(19),+2(87),-,-,+1(10),-,+2(213),25%,Bronze,刘佰幸,宋苏宇,张晨曦,N,N
131,80,北京师范大学,AC 滞动机,6,518,-,-,+1(34),-,+2(151),+2(28),+1(68),-,-,+1(13),-,+2(164),33%,Bronze,孙旭琪,陈志锐,黄一航,N,N
132,,电子科技大学,UESTC_Iron_Medal,6,527,-,-12,+1(25),-,+2(155),+1(32),+4(144),-,-,+1(16),-,+1(75),40%,Bronze,吴骏驰,徐以恒,李泽昊,N,N
