Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
64,,吉林大学,東雲端,6,914,+1(13),-,-,-,+2(158),+1(245),-,+3(110),-,-,+1(20),-,+6(208),57%,Silver,孔泉智,席乐媛,徐梓博,李强,N,N
65,,北京理工大学,卡批炉批和穹批,6,949,+1(12),-,-,-,+2(80),+2(247),-,+5(146),-,-,+2(20),-,+6(204),66%,Silver,李昂,梁思源,郑润哲,史继筠,N,N
66,45,浙大宁波理工学院,青梅绿茶,6,959,+1(27),-,-2,-,+1(77),+8(301),-,+2(169),-,-,+1(42),-,+1(183),57%,Silver,吴东,吴泽坤,涂荣基,郭新友,N,N
67,46,浙江理工大学,队名本来超级长但因为太长被ban呜呜呜队,6,961,+1(20),-,-,-,+3(136),+7(297),-,+3(175),-,-1,+1(38),-,+2(75),64%,Silver,张莉曼,王显龙,陶稼辉,叶海荣,N,N
68,47,东华大学,不可视境界线,6,962,+1(17),-,-,-,+5(218),+2(289),-,+1(85),-8,-,+1(25),-,+3(188),53%,Silver,刘青山,杨韵清,金浩帆,黄永锋,N,N
69,48,山东科技大学,柏林号,6,985,+1(23),+2(251),-,-,+3(171),-,-,+1(102),-,-,+2(40),-,+3(278),50%,Silver,岳立冬,张一炜,徐熙睿,吴振寰,N,N
69,48,福州大学,孤高曼波,6,985,+1(28),-1,-,-,+1(134),+6(301),-,+3(177),-,-,+1(19),-,+2(166),57%,Silver,叶志杰,郑恩琦,黄旭,傅仰耿,N,N
71,,西北工业大学,D.D.D.,6,997,+1(9),-,-,-,+4(227),+5(271),-,+2(125),-,-,+1(25),-,+3(140),62%,Silver,严诚治,吴语,武守恒,刘君瑞,N,N
72,50,哈尔滨工业大学（威海）,帅哥队长还在征婚QQ2216541094,6,1001,+1(14),-,-,-,+2(100),+3(267),-,+1(57),-,-,+2(41),-,+9(282),66%,Silver,李义朋,沈晨阳,解裕懋,董开坤,N,N
73,,北京理工大学,存在证明的自动机械,6,1030,+1(36),-,-,-,+3(201),+1(292),-,+1(143),-,-,+1(30),-,+3(248),40%,Silver,张智文,金典,黄冠泽,史继筠,N,N
74,,上海交通大学,电光火石的前奏,6,1034,+1(19),-,-,-,+1(87),+2(223),-1,+5(250),-,-,+1(34),-,+4(261),57%,Silver,车昕宇,钱智煊,黄佳瑞,俞勇,N,N
75,51,深圳大学,Twilight Illusion,6,1063,+3(72),+3(296),-,-,+4(244),-,-,+1(93),-,-,+1(35),-,+3(143),60%,Silver,何元捷,张艺轩,郑博瀚,秦建斌,N,N
76,,杭州电子科技大学,杭电5队,6,1107,+1(13),-,-,-,+2(144),+3(290),-,+2(180),-,-,+1(17),-,+9(223),66%,Silver,范宇航,蔡炜权,许思杰,刘春英,N,N
77,52,山东大学（威海）,fas de fanci,6,1113,+1(24),-,-,-,+2(123),+3(284),-,+2(242),-,-,+3(38),-,+4(222),60%,Silver,张智航,张胜熙,涂鸿铭,孔晓明,N,N
