Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
98,,南京航空航天大学,黄转绿,6,421,-2,+2(30),+3(194),-23,+1(34),-,-,-,+1(67),+1(9),+1(23),-,-,33%,Bronze,谢雨奇,王锴,匡显然,邹春然,N,N
99,63,阿坝师范学院,火攻,6,424,-,+1(34),+1(135),-6,+2(78),-,-,-,+1(98),+1(11),+1(46),-,-,14%,Bronze,李先笙,胡航,刘付焮,向昌成,N,N
100,64,中国地质大学（武汉）,不可思议之国的爱丽丝正在梦游仙境,6,426,-,+1(33),+1(158),-10,+1(74),-,-,-,+1(92),+1(9),+2(38),-,-,14%,Bronze,陈学海,李诏天,何坤良,张锋,N,N
101,65,上海科技大学,can can need 对不队,6,430,-,+1(34),+2(82),-24,+3(157),-,-,-,+1(37),+1(15),+1(42),-,-,33%,Bronze,钱靖,俞喆川,杨子烆,屠可伟,N,N
102,66,浙大城市学院,冬雪涟,6,436,-,+1(21),+2(213),-4,+1(45),-,-,-,+1(71),+1(8),+2(35),-,-,25%,Bronze,郭申申,鲁俊杰,张洋鸣,柯海丰,N,N
103,,南京信息工程大学,北风沧海群山恸,6,451,-,+2(31),+3(162),-5,+2(85),-,-,-,+1(50),+1(7),+1(34),-,-,40%,Bronze,刘一鸣,刘阳元,曹煜珑,潘锦基,N,N
104,,西湖大学,天生一队,6,455,-,+1(24),+5(231),-4,+1(38),-,-,-,+1(61),+1(11),+1(8),-,-,40%,Bronze,楼鑫浩,刘振豪,杨宇恒,周广成,N,N
105,67,电子科技大学中山学院,澄净闪耀,6,461,-4,+1(30),+1(161),-,+2(61),-,-,-,+2(109),+1(16),+1(43),-,-,25%,Bronze,董泓栎,樊洪源,洪金健,吴舜歆,N,N
106,,苏州大学,绫地宁宁公主,6,466,-,+1(22),+2(203),-3,+1(50),-,-,-,+1(106),+1(29),+1(33),-,-,14%,Bronze,周骁逸,林昱彤,史华睿,赵雷,N,N
107,68,西南交通大学,公主殿下护卫队,6,467,-,+1(38),+3(211),-12,+1(43),-,-,-,+2(75),+1(15),+1(22),-,-,33%,Bronze,郭欣森,毛锦阳,陈凯南,喻琇瑛,N,N
108,,华南理工大学,这发不AC我当场把电脑吃掉,6,471,-,+2(46),+2(124),-12,+2(89),-,-,-,+1(113),+1(8),+1(29),-,-,33%,Bronze,罗子健,王雅恒,叶文煜,林连南,N,N
109,69,长沙学院,冲冲冲,6,474,-,+1(33),+1(189),-17,+1(88),-,-,-,+1(103),+1(14),+1(43),-,-,0%,Bronze,应郑涛,曾翔,何南宁,何可可,N,N
110,70,河海大学,xcpc什么时候进奥运,6,481,-,+1(39),+1(193),-,+1(86),-,-,-,+1(111),+1(25),+1(24),-,-,0%,Bronze,黄兆彬,任意,杨家辉,张雪洁,N,N
111,71,西北师范大学,哔站关注星幻流空，在线征婚喵～,6,482,-1,+2(38),+3(178),-,+1(46),-,-,-,+1(86),+1(15),+1(57),-,-1,33%,Bronze,杨凯,杨森宇,曾祥涛,魏伟一,N,N
111,71,阜阳师范大学,又到了难搞的时候,6,482,-,+1(30),+2(194),-15,+2(74),-,-,-,+1(113),+1(7),+1(22),-,-,25%,Bronze,张美星,胡召鑫,束明伟,王茂华,N,N
113,,同济大学,登神长阶,6,500,-1,+1(29),+2(222),-4,+3(64),-,-,-,+1(82),+1(10),+1(30),-,-,33%,Bronze,张翔,林鑫宇,王琨瑀,叶晨,N,N
114,73,天津工业大学,你有什么头猪吗？,6,502,-1,+1(30),+1(196),-,+1(114),-,-,-,+1(131),+1(6),+1(23),-,-,0%,Bronze,应嘉宇,赵艺稞,郭梦贞,任淑霞,N,N
115,,浙江师范大学,该戒网瘾了,6,503,-,+2(48),+1(168),-12,+1(63),-,-,-,+2(144),+1(8),+1(29),-,-,25%,Bronze,嵇纹垲,陈炯荣,张煜,韩建民,N,N
115,74,浙江工商大学,看ad免费ac,6,503,-,+1(30),+1(210),-1,+2(94),-,-,-,+1(67),+1(37),+1(43),-,-,14%,Bronze,谢相逸,詹海吉,陈锦鸿,胡毓励,N,N
117,75,武汉商学院,冰雪聪明琪露诺,6,507,-2,+1(31),+2(164),-10,+1(61),-,-,-,+1(158),+1(9),+1(60),-,-,14%,Bronze,熊子豪,贾锐哲,魏翔,曲成璋,N,N
117,,北京邮电大学,帮帮我，评测机老爷爷！,6,507,-,+1(37),+4(212),-10,+2(63),-,-,-,+1(66),+2(9),+1(18),-,-,45%,Bronze,蔡禹煊,曾巍,蔡佩霖,徐鹏,N,N
119,76,广东工业大学,加睡,6,512,-,+1(44),+3(174),-5,+1(75),-,-,-,+1(78),+1(9),+3(50),-,-,40%,Bronze,梁若飞,梁伟,陈中豫,孙宣东,N,N
119,76,西南科技大学,老东西,6,512,-,+2(44),+4(185),-6,+2(64),-,-,-,+1(74),+1(10),+1(32),-,-,45%,Bronze,刘雨凡,游克峰,朱杰,杨春明,N,N
121,78,武汉科技大学,RELX悦刻幻影PRO,6,514,-,+1(18),+8(201),-11,+1(56),-,-,-,+1(49),+1(8),+1(39),-,-,53%,Bronze,孙煜恒,朱俊杰,万家梁,李顺新,N,N
122,,广东工业大学,我们已经很努力想队名了,6,518,-,+3(51),+1(123),-14,+2(93),-,-,-,+1(88),+2(23),+1(57),-,-,40%,Bronze,黄立韬,梁志聪,李梓灏,孙宣东,N,N
123,,电子科技大学,UESTC_*._.*,6,525,-,+1(40),+5(239),-6,+1(54),-,-,-,+1(65),+1(14),+1(29),-,-,40%,Bronze,郑祯宇,赵聪,郑智馨,吴磊,N,N
124,,西安交通大学,锦筝叹,6,529,-1,+2(64),+2(209),-9,+1(76),-,-,-,+1(54),+1(13),+1(70),-2,-,25%,Bronze,曹思宇,钟宇,李牧远,王龙翔,N,N
125,,电子科技大学,UESTC_在理工学校想邂逅文学学姐搞错了什么,6,534,-,+2(18),+4(279),-25,+1(55),-,-,-,+2(45),+1(8),+1(25),-,-,45%,Bronze,梁育诚,冉泽宇,陈治臻,杨鹏,N,N
126,79,燕山大学,塔山之巅,6,535,-,+4(33),+3(145),-,+2(73),-,-,-,+1(94),+1(10),+1(57),-,-,50%,Bronze,孙振轩,李一阳,吴亚楠,穆运峰,N,N
127,,中山大学,中山大学8队,6,540,-,+1(53),+4(279),-12,+1(9),-,-,-,+1(50),+1(29),+1(59),-,-,33%,Bronze,罗金浩,甘善铭,王泓皓,张子臻,N,N
128,80,深圳技术大学,SZTU_断了的轨迹,6,541,-,+1(34),+3(253),-8,+1(73),-,-,-,+1(89),+1(11),+1(39),-,-,25%,Bronze,张俊城,黄睿,莫昊,郭云镝,N,N
129,81,东华大学,转生成为C++卢瑟,6,544,-2,+1(43),+2(165),-3,+4(97),-,-,-,+1(129),+1(8),+1(19),-,-,40%,Bronze,沈兴波,侯迦得,占宏,黄永锋,N,N
130,82,东北师范大学,RuntimeError,6,552,-,+3(76),+4(162),-11,+1(64),-,-,-,+1(95),+1(15),+1(38),-,-,45%,Bronze,齐昊坤,曹勇麟,黎江楠,周治国,N,N
131,83,东莞理工学院,心态就是力量,6,555,-1,+2(44),+1(192),-8,+1(113),-2,-3,-3,+4(79),+1(16),+1(29),-1,-1,40%,Bronze,黄海,林恬烁,林志龙,陈传祥,N,N
132,84,湘潭大学,数据别和我作队,6,561,-,+1(29),+1(141),-7,+4(144),-,-,-,+2(104),+1(10),+1(51),-,-,40%,Bronze,资刘宇凡,陈翔,许秋宇,谢勇,N,N
133,85,华南师范大学,你怎么知道我的鼠标里有器灵,6,569,-,+2(79),+2(171),-1,+2(127),-,-,-,+1(45),+1(25),+1(59),-,-,33%,Bronze,阴铭洋,蔡海鹏,陈耿城,梁军,N,N
134,86,集美大学,我想同你永望黄昏,6,570,-,+1(68),+1(195),-9,+1(109),-,-,-,+1(137),+1(10),+1(48),-,-,0%,Bronze,颜秉轩,姚远,许超洪,郑翠玲,N,N
135,,武汉理工大学,曼波哈基米大战贤者三异鸟,6,572,-,+5(65),+4(146),-1,+2(90),-,-,-,+1(72),+1(6),+1(31),-,-,57%,Bronze,周泽鹏,邢家童,孙晨奥,赵冬冬,N,N
136,87,广东外语外贸大学,Fe++,6,575,-,+1(69),+3(236),-,+1(76),-,-,-,+1(102),+1(14),+1(36),-,-,25%,Bronze,罗梓元,麦思睿,杜卓礼,郑琪,N,N
137,,福州大学,旅行的意义,6,581,-,+1(30),+3(178),-4,+1(87),-,-,-,+1(94),+1(39),+3(69),-,-,40%,Bronze,陈宇,张子良,林伟豪,傅仰耿,N,N
138,88,云南大学,YNUER-CCPC,6,584,-,+1(29),+5(265),-2,+1(56),-,-,-,+1(108),+1(6),+1(36),-,-,40%,Bronze,周志昊,高凌豪,崔耀,刘金卓,N,N
139,89,湖南工学院,=188+182,6,592,-2,+3(87),+1(160),-1,+2(53),-,-,-,+2(121),+1(18),+1(71),-,-,40%,Bronze,陈翔,刘志毫,王江和,戴成秋,N,N
140,90,南华大学,NULLLLLLL,6,610,-,+3(62),+3(233),-,+1(82),-,-,-,+1(113),+1(8),+1(30),-,-,40%,Bronze,李柏顺,羊新旺,刘思凯,刘杰,N,N
141,,郑州轻工业大学,思考细菌,6,612,-,+2(52),+3(235),-1,+1(76),-,-,-,+1(119),+2(9),+1(38),-,-,40%,Bronze,陈浩,陈艺杰,陈显皓,张园园,N,N
142,,福州大学,除你网络,6,614,-,+1(16),+4(273),-3,+2(119),-,-,-,+1(68),+1(10),+2(25),-,-,45%,Bronze,陈建宇,庄宇烽,杨云飞,傅仰耿,N,N
